,id_usuario,volveria
0,650,0.0
1,234,0.0
2,31,1.0
3,552,1.0
4,411,0.0
5,134,0.0
6,497,0.0
7,434,0.0
8,528,1.0
9,112,0.0
10,276,0.0
11,446,1.0
12,138,1.0
13,233,1.0
14,457,1.0
15,584,1.0
16,466,0.0
17,773,0.0
18,849,1.0
19,190,0.0
20,349,0.0
21,58,0.0
22,695,1.0
23,817,0.0
24,213,0.0
25,48,0.0
26,600,1.0
27,166,0.0
28,758,1.0
29,654,0.0
30,306,1.0
31,335,0.0
32,80,0.0
33,836,0.0
34,857,0.0
35,776,0.0
36,556,1.0
37,637,0.0
38,100,1.0
39,238,0.0
40,666,1.0
41,32,0.0
42,340,1.0
43,435,1.0
44,160,0.0
45,485,1.0
46,149,1.0
47,215,0.0
48,341,1.0
49,433,0.0
50,851,0.0
51,558,1.0
52,395,0.0
53,833,0.0
54,255,0.0
55,787,0.0
56,554,0.0
57,727,0.0
58,163,0.0
59,430,0.0
60,40,0.0
61,307,0.0
62,837,0.0
63,450,1.0
64,625,0.0
65,738,1.0
66,754,0.0
67,691,1.0
68,42,0.0
69,249,1.0
70,179,1.0
71,862,1.0
72,186,1.0
73,159,0.0
74,14,0.0
75,579,0.0
76,566,0.0
77,74,0.0
78,509,0.0
79,337,1.0
80,228,0.0
81,182,1.0
82,728,0.0
83,246,1.0
84,454,1.0
85,354,0.0
86,82,0.0
87,172,0.0
88,8,0.0
89,640,0.0
